"";"dummy";"Species";"chao";"chao.se";"jack1";"jack1.se";"jack2";"boot";"boot.se";"n";"mid_lat";"chao_upper";"chao_lower";"jack1_upper";"jack1_lower"
"39";39;431;918,023055555556;81,3420871781369;716,086666666667;112,517196117848;916,936241610738;549,380988617637;63,3638701172915;150;34,499999995;1077,4535464247;758,592564686407;936,620371057648;495,552962275685
"40";40;449;962,013775736928;84,2967513900553;745,101910828025;102,928083794895;954,945533235342;571,938221131471;59,9826086213168;157;37,499999995;1127,23540846144;796,79214301242;946,84095506602;543,362866590031
"41";41;473;994,402346120138;83,8338112260192;780,104294478528;100,571706119629;995,984283874877;600,694287139587;58,6434648650851;163;40,499999995;1158,71661612314;830,08807611714;977,224838473;582,983750484055
"42";42;469;850,096742876559;61,0220834838193;756,470899470899;97,4421149320799;935,139789485534;591,42389563189;57,4198622339752;189;43,499999995;969,700026504845;730,493459248274;947,457444737776;565,484354204023
"43";43;431;964,141688061618;88,4739104360339;725,394736842105;105,95772929355;937,335739791958;552,128313707825;60,6090034285376;114;46,499999995;1137,55055251624;790,732823606991;933,071886257463;517,717587426747
"44";44;177;426,6285;65,9792310509527;298,77;25,362813329755;390,20696969697;226,534375992789;12,9148852312522;100;49,499999995;555,947792859867;297,309207140133;348,48111412632;249,05888587368
"45";45;157;363,165137614679;58,1748800702399;262,02752293578;21,6949181207638;339,823394495413;199,780892594157;11,4132278736427;109;52,499999995;477,187902552349;249,142372677009;304,549562452477;219,505483419083
"46";46;122;296,678812415655;57,1754625224863;202,948717948718;15,8020816877816;264,57375957376;154,933858838842;8,63563364557158;78;55,499999995;408,742718959728;184,614905871581;233,92079805677;171,976637840666
"47";47;115;281,183333333333;55,827474125953;191,7;19,7506539976106;249,994915254237;146,299473760384;10,3581758609749;60;58,499999995;390,605182620201;171,761484046466;230,411281835317;152,988718164683
"48";48;120;273,821371610845;48,6786593222333;201,543859649123;20,1078042544675;260,782581453634;153,462841660624;10,5710779866374;57;61,499999995;369,231543882422;178,411199339268;240,955155987879;162,132563310367
"49";49;63;131,663129973475;29,4940066784696;104,51724137931;14,886331104256;132,880541871921;80,4041317001649;7,95103225911713;29;64,499999995;189,471383063275;73,8548768836745;133,694450343652;75,3400324149685
"50";50;66;128,382222222222;25,9922074045533;108,533333333333;14,0611363536364;136,08275862069;84,0044277695872;7,72590397394654;30;67,499999995;179,326948735147;77,4374957092977;136,093160586461;80,973506080206
"51";51;61;145,333333333333;37,1139386813694;103,166666666667;14,7871471968809;133,855072463768;78,4218269061458;7,64066178343658;24;70,499999995;218,076653148817;72,5900135178494;132,149475172553;74,1838581607801
"52";52;45;87,8571428571429;21,7124059336724;73,5714285714286;11,0656667034498;92,1190476190476;57,1596169085476;6,26286273101908;21;73,499999995;130,413458487141;45,300827227145;95,2601353101901;51,882721832667
"53";53;45;86,2550505050505;20,3860405659576;74,2777777777778;11,9529685346412;92,6307189542484;57,4861286194101;6,58563392790722;18;76,499999995;126,211690014327;46,2984109957736;97,7055961056746;50,849959449881
"54";54;45;86,2550505050505;20,3860405659576;74,2777777777778;11,9529685346412;92,6307189542484;57,4861286194101;6,58563392790722;18;79,499999995;126,211690014327;46,2984109957736;97,7055961056746;50,849959449881
"55";55;19;79,2083333333333;52,2080589910323;33,1666666666667;8,17346655682615;43,4333333333333;24,8688485939643;3,79993751682052;6;82,499999995;181,536128955757;-23,11946228909;49,1866611180459;17,1466722152874
